Country,Indicator,Year,Value
BEN,NGDPD,2020,12.585
BEN,NGDP_D,1980,41.17
BEN,NGDP_D,1981,34.899
BEN,NGDP_D,1982,39.754
BEN,NGDP_D,1983,44.553
BEN,NGDP_D,1984,49.58
BEN,NGDP_D,1985,50.948
BEN,NGDP_D,1986,48.823
BEN,NGDP_D,1987,50.612
BEN,NGDP_D,1988,50.484
BEN,NGDP_D,1989,51.409
BEN,NGDP_D,1990,49.447
BEN,NGDP_D,1991,49.822
BEN,NGDP_D,1992,51.329
BEN,NGDP_D,1993,52.549
BEN,NGDP_D,1994,70.958
BEN,NGDP_D,1995,81.672
BEN,NGDP_D,1996,87.313
BEN,NGDP_D,1997,90.515
BEN,NGDP_D,1998,95.251
BEN,NGDP_D,1999,95.666
BEN,NGDP_D,2000,100
BEN,NGDP_D,2001,102.715
BEN,NGDP_D,2002,105.029
BEN,NGDP_D,2003,106.779
BEN,NGDP_D,2004,107.198
BEN,NGDP_D,2005,111.941
BEN,NGDP_D,2006,115.474
BEN,NGDP_D,2007,118.386
BEN,NGDP_D,2008,126.892
BEN,NGDP_D,2009,129.374
BEN,NGDP_D,2010,131.786
BEN,NGDP_D,2011,135.217
BEN,NGDP_D,2012,143.491
BEN,NGDP_D,2013,144.753
BEN,NGDP_D,2014,143.597
BEN,NGDP_D,2015,144.393
BEN,NGDP_D,2016,147.056
BEN,NGDP_D,2017,150.257
BEN,NGDP_D,2018,153.401
BEN,NGDP_D,2019,156.594
BEN,NGDP_D,2020,159.923
BEN,NGDPRPC,1980,242928.698
BEN,NGDPRPC,1981,239314.457
BEN,NGDPRPC,1982,236085.862
BEN,NGDPRPC,1983,224077.109
BEN,NGDPRPC,1984,218103.993
BEN,NGDPRPC,1985,220256.051
BEN,NGDPRPC,1986,219286.45
BEN,NGDPRPC,1987,208275.533
BEN,NGDPRPC,1988,208652.439
BEN,NGDPRPC,1989,196889.464
BEN,NGDPRPC,1990,207985.695
BEN,NGDPRPC,1991,210282.497
BEN,NGDPRPC,1992,210227.404
BEN,NGDPRPC,1993,216144.257
BEN,NGDPRPC,1994,214374.191
BEN,NGDPRPC,1995,221105.221
BEN,NGDPRPC,1996,224251.414
BEN,NGDPRPC,1997,230545.935
BEN,NGDPRPC,1998,233039.168
BEN,NGDPRPC,1999,238675.549
BEN,NGDPRPC,2000,241705.804
BEN,NGDPRPC,2001,248613.322
BEN,NGDPRPC,2002,251257.652
BEN,NGDPRPC,2003,252634.329
BEN,NGDPRPC,2004,251970.261
BEN,NGDPRPC,2005,250967.625
BEN,NGDPRPC,2006,252326.121
BEN,NGDPRPC,2007,256001.08
BEN,NGDPRPC,2008,260884.607
BEN,NGDPRPC,2009,260066.135
BEN,NGDPRPC,2010,259159.165
BEN,NGDPRPC,2011,260384.21
BEN,NGDPRPC,2012,267027.969
BEN,NGDPRPC,2013,274703.002
BEN,NGDPRPC,2014,282340.988
BEN,NGDPRPC,2015,290465.338
BEN,NGDPRPC,2016,298750.33
BEN,NGDPRPC,2017,307779.778
BEN,NGDPRPC,2018,317586.65
BEN,NGDPRPC,2019,328268.054
BEN,NGDPRPC,2020,339965.792
BEN,NGDPPC,1980,100013.848
BEN,NGDPPC,1981,83517.568
BEN,NGDPPC,1982,93853.576
BEN,NGDPPC,1983,99832.042
BEN,NGDPPC,1984,108135.219
BEN,NGDPPC,1985,112215.673
BEN,NGDPPC,1986,107061.799
BEN,NGDPPC,1987,105411.711
BEN,NGDPPC,1988,105335.111
BEN,NGDPPC,1989,101219.13
BEN,NGDPPC,1990,102843.486
BEN,NGDPPC,1991,104765.922
BEN,NGDPPC,1992,107906.953
BEN,NGDPPC,1993,113582.601
BEN,NGDPPC,1994,152114.719
BEN,NGDPPC,1995,180580.559
BEN,NGDPPC,1996,195800.827
BEN,NGDPPC,1997,208679.345
BEN,NGDPPC,1998,221971.446
BEN,NGDPPC,1999,228332.165
BEN,NGDPPC,2000,241705.804
BEN,NGDPPC,2001,255362.053
BEN,NGDPPC,2002,263893.13
BEN,NGDPPC,2003,269760.769
BEN,NGDPPC,2004,270108.314
BEN,NGDPPC,2005,280935.334
BEN,NGDPPC,2006,291371.335
BEN,NGDPPC,2007,303069.559
BEN,NGDPPC,2008,331042.779
BEN,NGDPPC,2009,336457.811
BEN,NGDPPC,2010,341534.758
BEN,NGDPPC,2011,352083.045
BEN,NGDPPC,2012,383162.281
BEN,NGDPPC,2013,397639.572
BEN,NGDPPC,2014,405432.877
BEN,NGDPPC,2015,419411.333
BEN,NGDPPC,2016,439329.581
BEN,NGDPPC,2017,462460.553
BEN,NGDPPC,2018,487181.896
BEN,NGDPPC,2019,514046.858
BEN,NGDPPC,2020,543684.213
BEN,NGDPDPC,1980,444.506
BEN,NGDPDPC,1981,290.597
BEN,NGDPDPC,1982,279.118
BEN,NGDPDPC,1983,239.308
BEN,NGDPDPC,1984,247.472
BEN,NGDPDPC,1985,249.777
BEN,NGDPDPC,1986,309.154
BEN,NGDPDPC,1987,350.745
BEN,NGDPDPC,1988,353.654
BEN,NGDPDPC,1989,317.293
BEN,NGDPDPC,1990,377.733
BEN,NGDPDPC,1991,371.37
BEN,NGDPDPC,1992,407.67
BEN,NGDPDPC,1993,401.122
BEN,NGDPDPC,1994,273.98
BEN,NGDPDPC,1995,361.777
BEN,NGDPDPC,1996,382.758
BEN,NGDPDPC,1997,357.53
BEN,NGDPDPC,1998,376.254
BEN,NGDPDPC,1999,370.85
BEN,NGDPDPC,2000,340.482
BEN,NGDPDPC,2001,348.663
BEN,NGDPDPC,2002,379.942
BEN,NGDPDPC,2003,465.05
BEN,NGDPDPC,2004,511.965
BEN,NGDPDPC,2005,533.536
BEN,NGDPDPC,2006,557.75
BEN,NGDPDPC,2007,633.27
BEN,NGDPDPC,2008,742.732
BEN,NGDPDPC,2009,714.403
BEN,NGDPDPC,2010,690.869
BEN,NGDPDPC,2011,746.834
BEN,NGDPDPC,2012,750.938
BEN,NGDPDPC,2013,805.125
BEN,NGDPDPC,2014,821.513
BEN,NGDPDPC,2015,767.098
BEN,NGDPDPC,2016,807.391
BEN,NGDPDPC,2017,858.793
BEN,NGDPDPC,2018,915.717
BEN,NGDPDPC,2019,976.116
BEN,NGDPDPC,2020,1032.394
BEN,NGAP_NPGDP,1980,
BEN,NGAP_NPGDP,1981,
BEN,NGAP_NPGDP,1982,
BEN,NGAP_NPGDP,1983,
BEN,NGAP_NPGDP,1984,
BEN,NGAP_NPGDP,1985,
BEN,NGAP_NPGDP,1986,
BEN,NGAP_NPGDP,1987,
BEN,NGAP_NPGDP,1988,
BEN,NGAP_NPGDP,1989,
BEN,NGAP_NPGDP,1990,
BEN,NGAP_NPGDP,1991,
BEN,NGAP_NPGDP,1992,
BEN,NGAP_NPGDP,1993,
BEN,NGAP_NPGDP,1994,
BEN,NGAP_NPGDP,1995,
BEN,NGAP_NPGDP,1996,
BEN,NGAP_NPGDP,1997,
BEN,NGAP_NPGDP,1998,
BEN,NGAP_NPGDP,1999,
BEN,NGAP_NPGDP,2000,
BEN,NGAP_NPGDP,2001,
BEN,NGAP_NPGDP,2002,
BEN,NGAP_NPGDP,2003,
BEN,NGAP_NPGDP,2004,
BEN,NGAP_NPGDP,2005,
BEN,NGAP_NPGDP,2006,
BEN,NGAP_NPGDP,2007,
BEN,NGAP_NPGDP,2008,
BEN,NGAP_NPGDP,2009,
BEN,NGAP_NPGDP,2010,
BEN,NGAP_NPGDP,2011,
BEN,NGAP_NPGDP,2012,
BEN,NGAP_NPGDP,2013,
BEN,NGAP_NPGDP,2014,
BEN,NGAP_NPGDP,2015,
BEN,NGAP_NPGDP,2016,
BEN,NGAP_NPGDP,2017,
BEN,NGAP_NPGDP,2018,
BEN,NGAP_NPGDP,2019,
BEN,NGAP_NPGDP,2020,
BEN,PPPGDP,1980,2.498
BEN,PPPGDP,1981,2.784
BEN,PPPGDP,1982,3.007
BEN,PPPGDP,1983,3.063
BEN,PPPGDP,1984,3.184
BEN,PPPGDP,1985,3.429
BEN,PPPGDP,1986,3.594
BEN,PPPGDP,1987,3.609
BEN,PPPGDP,1988,3.863
BEN,PPPGDP,1989,3.899
BEN,PPPGDP,1990,4.407
BEN,PPPGDP,1991,4.746
BEN,PPPGDP,1992,4.997
BEN,PPPGDP,1993,5.415
BEN,PPPGDP,1994,5.642
BEN,PPPGDP,1995,6.108
BEN,PPPGDP,1996,6.488
BEN,PPPGDP,1997,6.978
BEN,PPPGDP,1998,7.333
BEN,PPPGDP,1999,7.843
BEN,PPPGDP,2000,8.411
BEN,PPPGDP,2001,9.136
BEN,PPPGDP,2002,9.688
BEN,PPPGDP,2003,10.272
BEN,PPPGDP,2004,10.879
BEN,PPPGDP,2005,11.551
BEN,PPPGDP,2006,12.353
BEN,PPPGDP,2007,13.268
BEN,PPPGDP,2008,14.207
BEN,PPPGDP,2009,14.696
BEN,PPPGDP,2010,15.255
BEN,PPPGDP,2011,16.088
BEN,PPPGDP,2012,17.259
BEN,PPPGDP,2013,18.505
BEN,PPPGDP,2014,19.803
BEN,PPPGDP,2015,21.078
BEN,PPPGDP,2016,22.549
BEN,PPPGDP,2017,24.279
BEN,PPPGDP,2018,26.189
BEN,PPPGDP,2019,28.233
BEN,PPPGDP,2020,30.47
BEN,PPPPC,1980,659.225
BEN,PPPPC,1981,710.054
BEN,PPPPC,1982,743.936
BEN,PPPPC,1983,733.968
BEN,PPPPC,1984,739.756
BEN,PPPPC,1985,770.962
BEN,PPPPC,1986,783.043
BEN,PPPPC,1987,762.706
BEN,PPPPC,1988,790.834
BEN,PPPPC,1989,775.268
BEN,PPPPC,1990,849.252
BEN,PPPPC,1991,887.209
BEN,PPPPC,1992,907.198
BEN,PPPPC,1993,954.92
BEN,PPPPC,1994,967.258
BEN,PPPPC,1995,1018.434
BEN,PPPPC,1996,1051.778
BEN,PPPPC,1997,1099.814
BEN,PPPPC,1998,1123.771
BEN,PPPPC,1999,1168.565
BEN,PPPPC,2000,1210.327
BEN,PPPPC,2001,1273.288
BEN,PPPPC,2002,1306.586
BEN,PPPPC,2003,1339.941
BEN,PPPPC,2004,1373.169
BEN,PPPPC,2005,1411.708
BEN,PPPPC,2006,1462.963
BEN,PPPPC,2007,1523.765
BEN,PPPPC,2008,1583.294
BEN,PPPPC,2009,1590.313
BEN,PPPPC,2010,1604.129
BEN,PPPPC,2011,1644.982
BEN,PPPPC,2012,1717.243
BEN,PPPPC,2013,1792.923
BEN,PPPPC,2014,1869.638
BEN,PPPPC,2015,1940.536
BEN,PPPPC,2016,2025.783
BEN,PPPPC,2017,2129.966
BEN,PPPPC,2018,2245.07
BEN,PPPPC,2019,2366.833
BEN,PPPPC,2020,2499.6
BEN,PPPSH,1980,0.019
BEN,PPPSH,1981,0.019
BEN,PPPSH,1982,0.019
BEN,PPPSH,1983,0.019
BEN,PPPSH,1984,0.018
BEN,PPPSH,1985,0.018
BEN,PPPSH,1986,0.018
BEN,PPPSH,1987,0.017
BEN,PPPSH,1988,0.017
BEN,PPPSH,1989,0.016
BEN,PPPSH,1990,0.016
BEN,PPPSH,1991,0.017
BEN,PPPSH,1992,0.016
BEN,PPPSH,1993,0.016
BEN,PPPSH,1994,0.016
BEN,PPPSH,1995,0.016
BEN,PPPSH,1996,0.016
BEN,PPPSH,1997,0.017
BEN,PPPSH,1998,0.017
BEN,PPPSH,1999,0.017
BEN,PPPSH,2000,0.017
BEN,PPPSH,2001,0.018
BEN,PPPSH,2002,0.018
BEN,PPPSH,2003,0.018
BEN,PPPSH,2004,0.018
BEN,PPPSH,2005,0.017
BEN,PPPSH,2006,0.017
BEN,PPPSH,2007,0.017
BEN,PPPSH,2008,0.017
BEN,PPPSH,2009,0.018
BEN,PPPSH,2010,0.017
BEN,PPPSH,2011,0.017
BEN,PPPSH,2012,0.018
BEN,PPPSH,2013,0.018
BEN,PPPSH,2014,0.018
BEN,PPPSH,2015,0.019
BEN,PPPSH,2016,0.019
BEN,PPPSH,2017,0.019
BEN,PPPSH,2018,0.02
BEN,PPPSH,2019,0.02
BEN,PPPSH,2020,0.02
BEN,PPPEX,1980,151.714
BEN,PPPEX,1981,117.621
BEN,PPPEX,1982,126.158
BEN,PPPEX,1983,136.017
BEN,PPPEX,1984,146.177
BEN,PPPEX,1985,145.553
BEN,PPPEX,1986,136.725
BEN,PPPEX,1987,138.207
BEN,PPPEX,1988,133.195
BEN,PPPEX,1989,130.56
BEN,PPPEX,1990,121.099
BEN,PPPEX,1991,118.085
BEN,PPPEX,1992,118.945
BEN,PPPEX,1993,118.945
BEN,PPPEX,1994,157.264
BEN,PPPEX,1995,177.312
BEN,PPPEX,1996,186.162
BEN,PPPEX,1997,189.741
BEN,PPPEX,1998,197.524
BEN,PPPEX,1999,195.395
BEN,PPPEX,2000,199.703
BEN,PPPEX,2001,200.553
BEN,PPPEX,2002,201.971
BEN,PPPEX,2003,201.323
BEN,PPPEX,2004,196.704
BEN,PPPEX,2005,199.004
BEN,PPPEX,2006,199.165
BEN,PPPEX,2007,198.895
BEN,PPPEX,2008,209.085
BEN,PPPEX,2009,211.567
BEN,PPPEX,2010,212.91
BEN,PPPEX,2011,214.035
BEN,PPPEX,2012,223.126
BEN,PPPEX,2013,221.783
BEN,PPPEX,2014,216.851
BEN,PPPEX,2015,216.132
BEN,PPPEX,2016,216.869
BEN,PPPEX,2017,217.121
BEN,PPPEX,2018,217.001
BEN,PPPEX,2019,217.188
BEN,PPPEX,2020,217.508
BEN,NID_NGDP,1980,37.851
BEN,NID_NGDP,1981,45.172
BEN,NID_NGDP,1982,36.331
BEN,NID_NGDP,1983,18.284
BEN,NID_NGDP,1984,14.548
BEN,NID_NGDP,1985,9.5
BEN,NID_NGDP,1986,14.16
BEN,NID_NGDP,1987,12.751
BEN,NID_NGDP,1988,16.23
BEN,NID_NGDP,1989,11.471
BEN,NID_NGDP,1990,15.044
BEN,NID_NGDP,1991,15.844
BEN,NID_NGDP,1992,14.126
BEN,NID_NGDP,1993,16.233
BEN,NID_NGDP,1994,17.769
BEN,NID_NGDP,1995,22.173
BEN,NID_NGDP,1996,17.396
BEN,NID_NGDP,1997,19.889
BEN,NID_NGDP,1998,18.946
BEN,NID_NGDP,1999,19.164
BEN,NID_NGDP,2000,19.519
BEN,NID_NGDP,2001,20.299
BEN,NID_NGDP,2002,17.206
BEN,NID_NGDP,2003,19.588
BEN,NID_NGDP,2004,19.292
BEN,NID_NGDP,2005,16.424
BEN,NID_NGDP,2006,17.15
BEN,NID_NGDP,2007,20.076
BEN,NID_NGDP,2008,18.37
BEN,NID_NGDP,2009,20.86
BEN,NID_NGDP,2010,17.6
BEN,NID_NGDP,2011,18.705
BEN,NID_NGDP,2012,17.641
BEN,NID_NGDP,2013,25.607
BEN,NID_NGDP,2014,18.687
BEN,NID_NGDP,2015,22.477
BEN,NID_NGDP,2016,23.824
BEN,NID_NGDP,2017,24.217
BEN,NID_NGDP,2018,24.817
BEN,NID_NGDP,2019,22.758
BEN,NID_NGDP,2020,22.438
BEN,NGSD_NGDP,1980,27.562
BEN,NGSD_NGDP,1981,17.954
BEN,NGSD_NGDP,1982,2.715
BEN,NGSD_NGDP,1983,0.912
BEN,NGSD_NGDP,1984,7.991
BEN,NGSD_NGDP,1985,4.512
BEN,NGSD_NGDP,1986,6.318
BEN,NGSD_NGDP,1987,6.377
BEN,NGSD_NGDP,1988,7.255
BEN,NGSD_NGDP,1989,9.483
BEN,NGSD_NGDP,1990,13.01
BEN,NGSD_NGDP,1991,13.205
BEN,NGSD_NGDP,1992,9.791
BEN,NGSD_NGDP,1993,12.048
BEN,NGSD_NGDP,1994,15.292
BEN,NGSD_NGDP,1995,16.087
BEN,NGSD_NGDP,1996,13.476
BEN,NGSD_NGDP,1997,12.877
BEN,NGSD_NGDP,1998,13.519
BEN,NGSD_NGDP,1999,11.912
BEN,NGSD_NGDP,2000,14.27
BEN,NGSD_NGDP,2001,16.303
BEN,NGSD_NGDP,2002,9.904
BEN,NGSD_NGDP,2003,11.148
BEN,NGSD_NGDP,2004,12.59
BEN,NGSD_NGDP,2005,9.925
BEN,NGSD_NGDP,2006,12.207
BEN,NGSD_NGDP,2007,9.906
BEN,NGSD_NGDP,2008,10.288
BEN,NGSD_NGDP,2009,11.929
BEN,NGSD_NGDP,2010,8.857
BEN,NGSD_NGDP,2011,10.902
BEN,NGSD_NGDP,2012,9.275
BEN,NGSD_NGDP,2013,9.716
BEN,NGSD_NGDP,2014,10.2
BEN,NGSD_NGDP,2015,10.872
BEN,NGSD_NGDP,2016,11.613
BEN,NGSD_NGDP,2017,12.127
BEN,NGSD_NGDP,2018,13.089
BEN,NGSD_NGDP,2019,14.005
BEN,NGSD_NGDP,2020,13.744
BEN,PCPI,1980,32.541
BEN,PCPI,1981,32.8
BEN,PCPI,1982,34.131
BEN,PCPI,1983,32.06
BEN,PCPI,1984,35.351
BEN,PCPI,1985,35.758
BEN,PCPI,1986,35.906
BEN,PCPI,1987,35.425
BEN,PCPI,1988,36.645
BEN,PCPI,1989,36.571
BEN,PCPI,1990,36.978
BEN,PCPI,1991,37.755
BEN,PCPI,1992,39.982
BEN,PCPI,1993,40.16
BEN,PCPI,1994,55.636
BEN,PCPI,1995,63.68
BEN,PCPI,1996,66.811
BEN,PCPI,1997,69.352
BEN,PCPI,1998,73.343
BEN,PCPI,1999,73.6
BEN,PCPI,2000,76.693
BEN,PCPI,2001,79.746
BEN,PCPI,2002,81.678
BEN,PCPI,2003,82.909
BEN,PCPI,2004,83.641
BEN,PCPI,2005,88.128
BEN,PCPI,2006,91.465
BEN,PCPI,2007,92.649
BEN,PCPI,2008,99.507
BEN,PCPI,2009,100.402
BEN,PCPI,2010,102.59
BEN,PCPI,2011,105.397
BEN,PCPI,2012,112.504
BEN,PCPI,2013,113.593
BEN,PCPI,2014,112.462
BEN,PCPI,2015,113.256
BEN,PCPI,2016,115.469
BEN,PCPI,2017,118.24
BEN,PCPI,2018,121.257
BEN,PCPI,2019,124.409
BEN,PCPI,2020,127.635
BEN,PCPIPCH,1980,9.596
BEN,PCPIPCH,1981,0.795
BEN,PCPIPCH,1982,4.059
BEN,PCPIPCH,1983,-6.067
BEN,PCPIPCH,1984,10.265
BEN,PCPIPCH,1985,1.151
BEN,PCPIPCH,1986,0.414
BEN,PCPIPCH,1987,-1.339
BEN,PCPIPCH,1988,3.445
BEN,PCPIPCH,1989,-0.202
BEN,PCPIPCH,1990,1.112
BEN,PCPIPCH,1991,2.1
BEN,PCPIPCH,1992,5.9
BEN,PCPIPCH,1993,0.445
BEN,PCPIPCH,1994,38.535
BEN,PCPIPCH,1995,14.458
BEN,PCPIPCH,1996,4.917
BEN,PCPIPCH,1997,3.803
BEN,PCPIPCH,1998,5.755
BEN,PCPIPCH,1999,0.35
BEN,PCPIPCH,2000,4.202
BEN,PCPIPCH,2001,3.981
BEN,PCPIPCH,2002,2.422
BEN,PCPIPCH,2003,1.507
BEN,PCPIPCH,2004,0.883
BEN,PCPIPCH,2005,5.364
BEN,PCPIPCH,2006,3.787
BEN,PCPIPCH,2007,1.294
BEN,PCPIPCH,2008,7.403
BEN,PCPIPCH,2009,0.899
BEN,PCPIPCH,2010,2.179
BEN,PCPIPCH,2011,2.736
BEN,PCPIPCH,2012,6.743
BEN,PCPIPCH,2013,0.969
BEN,PCPIPCH,2014,-0.996
BEN,PCPIPCH,2015,0.706
BEN,PCPIPCH,2016,1.953
BEN,PCPIPCH,2017,2.4
BEN,PCPIPCH,2018,2.552
BEN,PCPIPCH,2019,2.6
BEN,PCPIPCH,2020,2.593
BEN,PCPIE,1980,32.292
BEN,PCPIE,1981,32.549
BEN,PCPIE,1982,33.87
BEN,PCPIE,1983,31.815
BEN,PCPIE,1984,35.081
BEN,PCPIE,1985,35.485
BEN,PCPIE,1986,35.632
BEN,PCPIE,1987,35.155
BEN,PCPIE,1988,36.365
BEN,PCPIE,1989,36.292
BEN,PCPIE,1990,36.696
BEN,PCPIE,1991,37.466
BEN,PCPIE,1992,39.677
BEN,PCPIE,1993,40.823
BEN,PCPIE,1994,62.87
BEN,PCPIE,1995,64.834
BEN,PCPIE,1996,69.317
BEN,PCPIE,1997,71.005
BEN,PCPIE,1998,75.011
BEN,PCPIE,1999,72.578
BEN,PCPIE,2000,79.723
BEN,PCPIE,2001,81.571
BEN,PCPIE,2002,82.588
BEN,PCPIE,2003,83.214
BEN,PCPIE,2004,85.435
BEN,PCPIE,2005,88.603
BEN,PCPIE,2006,93.267
BEN,PCPIE,2007,93.534
BEN,PCPIE,2008,101.369
BEN,PCPIE,2009,100.904
BEN,PCPIE,2010,104.958
BEN,PCPIE,2011,106.875
BEN,PCPIE,2012,114.111
BEN,PCPIE,2013,112.014
BEN,PCPIE,2014,112.343
BEN,PCPIE,2015,113.576
BEN,PCPIE,2016,116.244
BEN,PCPIE,2017,119.084
BEN,PCPIE,2018,122.19
BEN,PCPIE,2019,125.358
BEN,PCPIE,2020,128.608
BEN,PCPIEPCH,1981,0.795
BEN,PCPIEPCH,1982,4.059
BEN,PCPIEPCH,1983,-6.067
BEN,PCPIEPCH,1984,10.265
BEN,PCPIEPCH,1985,1.151
BEN,PCPIEPCH,1986,0.414
BEN,PCPIEPCH,1987,-1.339
BEN,PCPIEPCH,1988,3.445
BEN,PCPIEPCH,1989,-0.202
BEN,PCPIEPCH,1990,1.112
BEN,PCPIEPCH,1991,2.1
BEN,PCPIEPCH,1992,5.9
BEN,PCPIEPCH,1993,2.888
BEN,PCPIEPCH,1994,54.008
BEN,PCPIEPCH,1995,3.124
BEN,PCPIEPCH,1996,6.914
BEN,PCPIEPCH,1997,2.435
BEN,PCPIEPCH,1998,5.642
BEN,PCPIEPCH,1999,-3.244
BEN,PCPIEPCH,2000,9.845
BEN,PCPIEPCH,2001,2.318
